encrypted_image,reference_image,visual_quality,ground_truth
airport.bmp,airport.bmp,1.0,1.0
airport_01_1.j2k,airport.bmp,0.0238095238095238,0.2
airport_01_2.j2k,airport.bmp,0.0317460317460317,0.2
airport_01_3.j2k,airport.bmp,0.119047619047619,0.2
airport_01_5.j2k,airport.bmp,0.5476190476190476,0.31
airport_02_1.jpg,airport.bmp,0.0,0.2
airport_02_2.jpg,airport.bmp,0.2777777777777778,0.2299999999999999
airport_02_3.jpg,airport.bmp,0.3809523809523809,0.25
airport_02_4.jpg,airport.bmp,0.4920634920634921,0.2799999999999999
airport_02_5.jpg,airport.bmp,0.611111111111111,0.38
airport_03_1.j2k,airport.bmp,0.0317460317460317,0.2
airport_03_2.j2k,airport.bmp,0.2698412698412698,0.2299999999999999
airport_03_3.j2k,airport.bmp,0.2698412698412698,0.21
airport_03_4.j2k,airport.bmp,0.4761904761904761,0.29
airport_03_5.j2k,airport.bmp,0.7142857142857143,0.49
airport_03_6.j2k,airport.bmp,0.9047619047619048,0.77
airport_04_1.j2k,airport.bmp,0.0317460317460317,0.2
airport_04_2.j2k,airport.bmp,0.2301587301587301,0.2
airport_04_3.j2k,airport.bmp,0.3174603174603175,0.21
airport_04_4.j2k,airport.bmp,0.4761904761904761,0.32
airport_05_1.j2k,airport.bmp,0.0,0.2
airport_05_2.j2k,airport.bmp,0.1507936507936507,0.2
airport_05_3.j2k,airport.bmp,0.2619047619047619,0.21
airport_05_4.j2k,airport.bmp,0.3650793650793651,0.24
airport_05_5.j2k,airport.bmp,0.5079365079365079,0.3
airport_06_1.j2k,airport.bmp,0.0396825396825396,0.2
airport_06_3.j2k,airport.bmp,0.5793650793650794,0.38
airport_06_4.j2k,airport.bmp,0.7936507936507936,0.5900000000000001
airport_06_5.j2k,airport.bmp,0.9206349206349206,0.8099999999999999
airport_07_1.bmp,airport.bmp,0.0,0.2
airport_07_2.bmp,airport.bmp,0.4206349206349207,0.2299999999999999
airport_07_4.bmp,airport.bmp,0.6746031746031748,0.39
